OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_DatasetlSVISam_MinimumBoundi
1,点,379,1070,4849961239,7-Eleven, , , , , , , ,"addr:country=>""HK"",""addr:housenumber""=>""8-10"",""addr:street""=>""漢口道 Hankow Road"",""addr:unit""=>""A"",""brand""=>""7-Eleven"",""brand:wikidata""=>""Q259340"",""brand:wikipedia""=>""en:7-Eleven"",""check_date""=>""2024-05-19"",""level""=>""0"",""name:en""=>""7-Eleven"",""name:z",22.296157,114.171318,1,1
2,点,386,1621,6359877741, , ,traffic_signals, , , , , ,"crossing=>""no"",""traffic_signals""=>""signal""",22.296167,114.170211,1,1
3,点,391,1622,6359877742, , ,traffic_signals, , , , , ,"crossing=>""no"",""traffic_signals""=>""signal""",22.296171,114.170277,1,1
4,点,395,2247,10875906114, , ,elevator,L5, , , , , ,22.29618,114.170504,1,1
5,点,401,930,4848178729,ISA, , , , , , , ,"addr:street=>""彌敦道 Nathan Road"",""shop""=>""clothes""",22.296188,114.172109,1,1
6,点,402,1867,7077478898, , , , , , , , ,"door=>""no"",""entrance""=>""yes"",""gate""=>""yes""",22.29619,114.172165,1,1
7,点,407,648,4159230886,半島酒店 The Peninsula, , ,E, , , , ,"name:en=>""The Peninsula"",""name:zh""=>""半島酒店"",""railway""=>""subway_entrance"",""wheelchair""=>""no""",22.296203,114.172162,1,1
8,点,412,92,1268358716, , , ,L5, , , , ,"railway=>""subway_entrance"",""wheelchair""=>""yes""",22.296212,114.170363,1,1
9,点,417,996,4849781084,永豐環球大藥粧, , , , , , , ,"addr:street=>""北京道 Peking Road"",""shop""=>""chemist""",22.296218,114.170734,1,1
10,点,419,1075,4850025679,ISA, , , , , , , ,"addr:street=>""漢口道 Hankow Road"",""name:en""=>""ISA"",""shop""=>""jewelry""",22.296219,114.171092,1,1
11,点,423,2435,11250049611, , , , , , , , ,"addr:housenumber=>""12-12C"",""addr:street""=>""漢口道 Hankow Road""",22.296228,114.171295,1,1
12,点,424,1489,5418180021, , , , , , , , ,"addr:housenumber=>""27. Room G F16"",""addr:street""=>""彌敦道 Nathan Road"",""leisure""=>""fitness_centre"",""name:en""=>""Hikari Yoga""",22.296228,114.172108,1,1
13,点,428,1001,4849804176,同仁大藥坊 Tung Yan Medicine, , , , , , , ,"addr:street=>""北京道 Peking Road"",""name:en""=>""Tung Yan Medicine"",""name:zh""=>""同仁大藥坊"",""shop""=>""chemist""",22.296233,114.170781,1,1
14,点,431,915,4848098164,Patek Philippe, , , , , , , ,"addr:street=>""彌敦道 Nathan Road"",""brand""=>""Patek Philippe"",""brand:wikidata""=>""Q659096"",""brand:wikipedia""=>""en:Patek Philippe SA"",""shop""=>""watches""",22.296236,114.172445,1,1
15,点,435,1002,4849804177,玉晶堂 Cohen Optical, , , , , , , ,"addr:street=>""北京道 Peking Road"",""name:en""=>""Cohen Optical"",""name:zh""=>""玉晶堂"",""shop""=>""optician""",22.296241,114.170846,1,1
16,点,443,1624,6359877744, , ,traffic_signals, , , , , ,"crossing=>""separate"",""traffic_signals""=>""signal""",22.296251,114.170075,1,1
17,点,445,2248,10875906153, , ,crossing, , , , , ,"crossing=>""traffic_signals""",22.296253,114.170089,1,1
18,点,448,93,1268358720, , ,traffic_signals, , , , , ,"crossing=>""traffic_signals"",""traffic_signals""=>""signal""",22.296256,114.170111,1,1
19,点,449,1069,4849961238,多願韓國護肝寶專門店 Dawon, , , , , , , ,"addr:street=>""漢口道 Hankow Road"",""name:en""=>""Dawon"",""name:zh""=>""多願韓國護肝寶專門店"",""shop""=>""nutrition_supplements""",22.296256,114.171313,1,1
20,点,451,997,4849781085,新港免稅大藥坊, , , , , , , ,"addr:street=>""北京道 Peking Road"",""shop""=>""chemist""",22.296256,114.170991,1,1
