OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_Dataset3SVISam_MinimumBoundi
1,点,1973,977,4848408996,Lojel, , , , , , , ,"addr:street=>""漆咸道南 Chatham Road South"",""shop""=>""yes""",22.301244,114.176296,1,1
2,点,1977,1690,6387056686,El Cid Spanish Restaurant, , , , , , , ,"addr:housenumber=>""13"",""addr:street""=>""诺士佛台 Knutsford Terrace"",""amenity""=>""restaurant"",""cuisine""=>""spanish"",""internet_access""=>""wlan"",""name:en""=>""El Cid Spanish Restaurant"",""name:es""=>""El Cid Restaurante Español"",""opening_hours""=>""Su-Th 12:00-",22.301271,114.174335,1,1
3,点,1981,2631,12454443678,BYD, , , , , , , ,"brand=>""BYD"",""brand:wikidata""=>""Q27423"",""shop""=>""car""",22.301298,114.176277,1,1
4,点,1987,1229,4850542041,南대门韩国料理 Namdaemoon, , , , , , , ,"addr:street=>""天文台道 Observatory Road"",""amenity""=>""restaurant"",""cuisine""=>""korean"",""name:en""=>""Namdaemoon"",""name:ko""=>""남대문"",""name:ko-Latn""=>""Namdaemun"",""name:zh""=>""南대门韩国料理""",22.30133,114.175113,1,1
5,点,1989,2204,10291747452,香港科学馆 Hong Kong Science Museum, ,bus_stop, , , , , ,"bus=>""yes"",""name:en""=>""Hong Kong Science Museum"",""name:zh""=>""香港科学馆"",""network""=>""Citybus;Cityflyer"",""network:wikidata""=>""Q5124055;Q5124066"",""operator""=>""城巴 Citybus"",""operator:en""=>""Citybus"",""operator:wikidata""=>""Q5124055"",""operator:zh""=>""a",22.301367,114.176361,1,1
6,点,1992,2719,12757687954, , , ,LCSD YTM/38, , , , ,"circumference=>""1.46"",""denotation""=>""natural_monument"",""height""=>""13"",""natural""=>""tree"",""species""=>""Ficus microcarpa"",""species:zh""=>""榕树 Chinese Banyan""",22.301403,114.171982,1,1
7,点,1995,2203,10291747451,香港科学馆 Hong Kong Science Museum, ,bus_stop, , , , , ,"bus=>""yes"",""name:en""=>""Hong Kong Science Museum"",""name:zh""=>""香港科学馆"",""network""=>""KMB"",""network:wikidata""=>""Q312243"",""operator""=>""九巴 KMB"",""operator:en""=>""KMB"",""operator:wikidata""=>""Q312243"",""operator:zh""=>""九巴"",""owner""=>""九巴 KMB"",""own",22.301431,114.176383,1,1
8,点,1997,2201,10291747449,香港科学馆 Hong Kong Science Museum, , , , , , , ,"bus=>""yes"",""name:en""=>""Hong Kong Science Museum"",""name:zh""=>""香港科学馆"",""public_transport""=>""stop_position""",22.301436,114.176444,1,1
9,点,1999,978,4848408997,ICE FIRE, , , , , , , ,"addr:city=>""Hong Kong"",""addr:district""=>""尖沙咀 Tsim Sha Tsui"",""addr:housenumber""=>""111-113"",""addr:street""=>""漆咸道南 Chatham Road South"",""clothes""=>""women;children;men"",""opening_hours""=>""Mo-Su 12:00-22:00"",""operator""=>""ICE FIRE Limited"",""shop""=",22.301459,114.176388,1,1
10,点,2001,538,3495692464,Pelican Bay, , , , , , , ,"amenity=>""bar""",22.301473,114.174763,1,1
11,点,2004,2202,10291747450,香港科学馆 Hong Kong Science Museum, , , , , , , ,"bus=>""yes"",""name:en""=>""Hong Kong Science Museum"",""name:zh""=>""香港科学馆"",""public_transport""=>""stop_position""",22.301487,114.176461,1,1
12,点,2005,2718,12757687953, , , ,LCSD YTM/37, , , , ,"circumference=>""1.003"",""denotation""=>""natural_monument"",""height""=>""13"",""natural""=>""tree"",""species""=>""Ficus microcarpa"",""species:zh""=>""榕树 Chinese Banyan""",22.301497,114.171972,1,1
13,点,2007,2111,10008318298,古物古迹办事处 Antiquities and Monuments Office, , , , , , , ,"name:en=>""Antiquities and Monuments Office"",""name:zh""=>""古物古迹办事处"",""office""=>""yes"",""website""=>""https://www.amo.gov.hk/"",""wikidata""=>""Q4775201"",""wikimedia_commons""=>""Category:Antiquities and Monuments Office (AMO)"",""wikipedia""=>""zh:古物古",22.301545,114.172179,1,1
14,点,2008,2522,11542446289, , ,crossing, , , , , , ,22.301573,114.176457,1,1
